City,Country,Latitude,Longitude,
Ardeer,Australia,-37.7759,144.8015,
Auckland,New Zealand,-36.8521,174.7632,
Bangkok,Thailand,13.75249,100.4935,
Humen,China,22.81625,113.6684,
Jakarta,Indonesia,-6.17525,106.827,
Cikarang,Indonesia,-6.25531,107.1451,
Guan Yao MDC,China,35,105,
Vietnam,Vietnam,15.92667,107.9651,
Heng Gang,China,22.65127,114.2042,
Kowloon,China,22.30319,114.182,
Yokohama,Japan,35.45034,139.6344,
Kuala Lumpur,Malaysia,3.151696,101.6942,
Penang,Malaysia,5.406501,100.2559,
Perai,Malaysia,5.387084,100.3822,
Richmond,Australia,-37.8204,145.0025,
Shanghai,China,31.23234,121.4691,
Solo,Indonesia,-7.56925,110.8284,
Tokyo,Japan,35.67686,139.7639,
Yannan,China,25.97241,117.3583,
Yogyakarta,Indonesia,-7.97784,110.3672,
Czech Republic,Czech Republic,49.7439,15.33811,
Amstelveen,Netherlands,52.30256,4.846788,
Athens,Greece,37.97556,23.73483,
Barcelona,Spain,41.38289,2.177432,
Dreieich,Germany,50.01197,8.712391,
France Distribution Center,France,50.57435,1.587572,
Istanbul,Turkey,41.0766,29.0525,
Johannesburg,South Africa,-26.205,28.04972,
London,England,51.48933,-0.14406,
Milan,Italy,45.46419,9.189635,
Prague,Czech Republic,50.05963,14.44646,
Rungis,France,48.7484,2.347267,
Warsaw,Poland,52.23196,21.00672,
Bogota,Colombia,4.653382,-74.0836,
Escobedo,Mexico,27.30549,-101.301,
Funza,Colombia,4.717747,-74.2032,
Lima,Peru,-12.0621,-77.0365,
Mexico,Mexico,19.43263,-99.1332,
Santiago,Chile,-33.4378,-70.6505,
Sao Paulo,Brazil,-23.5507,-46.6334,
East Aurora,USA,42.76891,-78.6178,
Chicago,USA,41.87556,-87.6244,
Charlotte,USA,35.22721,-80.8431,
Dallas,USA,32.77627,-96.7969,
Deforest,USA,43.24777,-89.3437,
El Segundo,USA,33.91703,-118.416,
Fort Worth,USA,32.75318,-97.3327,
Jonestown,USA,30.49547,-97.9233,
Los Angeles,USA,34.05369,-118.243,
Las Vegas,USA,36.16726,-115.149,
Minneapolis,USA,44.9773,-93.2655,
Mississauga,USA,43.623012,-79.6879252,
Montreal,USA,45.4837181,-73.6954111,
Nashville,USA,36.16228,-86.7743,
New York,USA,40.71273,-74.006,
Orlando,USA,28.54211,-81.379,
Rogers,USA,36.37816,-95.6191,
San Bernardino,USA,34.8253,-116.083,
Washington DC,USA,38.89504,-77.0365,
Montoi,Mexico,25.8194387,-100.3414017,
Hengang,China,22.74109,113.8659,
Tijuana,Mexico,117.0193,32.5332,
Polanco,Mexico,99.1956,19.434,
Distribution Center,Czech Republic,40.8388633,29.4360055,
Guan Yao MEC,China,23.2241792,113.0940962,
Chang An,China,23.019,114.09809,
Shenzhen,China,22.6408992,114.21103,
Washington,USA,38.9167598,-77.2215576,
Palanco,Mexico,19.3305,-99.08582,
Slough,England,51.5114983,-0.5920996,
Mexico City Warehouse,Mexico,25.8194387,-100.3414017,
Lima Warehouse,Peru,-12.0966139,-77.0319397,
"Kowloon,Hongkong",China,22.29899,114.16853,
"HIT Entertainment Headquarters,London",England,0.1328,51.5225,
San Bardandino,USA,34.1011926,-117.2575116,
FortWorth,USA,32.7555,-97.3515982,
Guan Yao MHK,China,22.8168233,113.8020865,
Moscow,Russia,55.7007533,37.6217054,
